id,sugar_level,calories,weight,fat,food_color
7746,87.89999999999999 gr,481 cal,1520.68 gr,39 gr,Sunset Red
7747,152.72 gr,453 cal,1295.73 gr,32 gr,Grass Green
7748,128.51 gr,672 cal,681.98 gr,37 gr,Rose
7749,165.2 gr,503 cal,474.0 gr,26 gr,Grass Green
7750,79.69999999999999 gr,307 cal,898.76 gr,30 gr,Sunset Yellow
7751,164.27 gr,596 cal,1035.13 gr,32 gr,Navy Blue
7752,112.87 gr,531 cal,1191.61 gr,45 gr,Navy Blue
7753,97.82 gr,259 cal,16.22 gr,3 gr,Black
7754,122.53999999999999 gr,380 cal,1261.45 gr,19 gr,Sunset Yellow
7755,130.20999999999998 gr,334 cal,650.22 gr,30 gr,Black
7756,3.9299999999999926 gr,281 cal,1413.17 gr,-6 gr,Green
7757,-23.809999999999988 gr,144 cal,280.33 gr,-12 gr,Black
7758,4.069999999999993 gr,430 cal,670.93 gr,22 gr,Sunset Yellow
7759,,319 cal,1107.98 gr,-4 gr,Sunset Red
7760,76.89 gr,154 cal,1611.5 gr,4 gr,Black
7761,82.53 gr,531 cal,1990.19 gr,45 gr,Black
7762,130.44 gr,554 cal,1320.88 gr,23 gr,Black
7763,114.83 gr,226 cal,915.44 gr,17 gr,Purple
7764,109.28 gr,621 cal,1913.58 gr,22 gr,Rose
7765,87.89999999999999 gr,13 cal,592.49 gr,15 gr,Sunset Red
7766,120.65 gr,686 cal,1553.86 gr,31 gr,Purple
7767,72.69 gr,194 cal,1622.34 gr,12 gr,Green
7768,163.73 gr,527 cal,227.37 gr,23 gr,Black
7769,127.43 gr,378 cal,585.04 gr,16 gr,Green
7770,116.43 gr,328 cal,1312.45 gr,28 gr,Green
7771,146.1 gr,674 cal,325.46 gr,42 gr,Green
7772,140.74 gr,361 cal,25.75 gr,42 gr,Coffee
7773,-2.759999999999991 gr,365 cal,1155.36 gr,15 gr,Purple
7774,10.739999999999995 gr,396 cal,1892.7 gr,23 gr,Grass Green
7775,122.11000000000001 gr,,1203.86 gr,32 gr,Navy Blue
7776,73.65 gr,32 cal,1372.6 gr,36 gr,Sunset Yellow
7777,88.77000000000001 gr,171 cal,1820.37 gr,20 gr,Sunset Yellow
7778,114.77000000000001 gr,551 cal,412.71 gr,38 gr,Lemon Yellow
7779,119.38000000000001 gr,424 cal,572.22 gr,35 gr,Grass Green
7780,79.75 gr,59 cal,132.81 gr,31 gr,Sunset Red
7781,112.81 gr,739 cal,1910.24 gr,26 gr,Lemon Yellow
7782,28.69999999999999 gr,236 cal,664.71 gr,43 gr,Green
7783,117.63999999999999 gr,252 cal,1342.05 gr,29 gr,Navy Blue
7784,90.73 gr,551 cal,374.63 gr,24 gr,Rose
7785,27.58 gr,113 cal,1285.88 gr,9 gr,Sunset Red
7786,63.139999999999986 gr,105 cal,1453.08 gr,35 gr,Green
7787,5.579999999999998 gr,372 cal,1145.83 gr,33 gr,Lemon Yellow
7788,17.019999999999996 gr,326 cal,499.76 gr,12 gr,Purple
7789,108.31 gr,683 cal,445.45 gr,30 gr,Purple
7790,150.46 gr,687 cal,1921.01 gr,41 gr,Rose
7791,95.33 gr,440 cal,898.17 gr,21 gr,Purple
7792,111.37 gr,722 cal,356.37 gr,19 gr,Lemon Yellow
7793,61.67 gr,120 cal,995.21 gr,0 gr,Green
7794,122.08 gr,553 cal,,11 gr,Coffee
7795,15.569999999999993 gr,323 cal,1107.82 gr,25 gr,Navy Blue
7796,71.43 gr,378 cal,1913.02 gr,42 gr,Green
7797,3.6700000000000017 gr,384 cal,701.53 gr,16 gr,Black
7798,139.21 gr,367 cal,1875.72 gr,34 gr,Coffee
7799,132.96 gr,533 cal,920.64 gr,15 gr,Purple
7800,73.16 gr,212 cal,1156.34 gr,7 gr,Rose
7801,-27.47 gr,472 cal,1413.67 gr,32 gr,Grass Green
7802,135.63 gr,756 cal,352.26 gr,22 gr,Sunset Yellow
7803,144.66 gr,461 cal,952.99 gr,29 gr,Navy Blue
7804,131.29 gr,435 cal,1005.87 gr,26 gr,Lemon Yellow
7805,109.77000000000001 gr,652 cal,508.43 gr,42 gr,Green
7806,129.35 gr,389 cal,75.23 gr,33 gr,Lemon Yellow
7807,99.24 gr,393 cal,736.96 gr,24 gr,Sunset Yellow
7808,-0.46999999999999886 gr,424 cal,1296.92 gr,29 gr,Grass Green
7809,79.3 gr,458 cal,1933.26 gr,23 gr,Coffee
7810,100.35 gr,158 cal,1068.98 gr,33 gr,Green
7811,35.28999999999999 gr,320 cal,1610.69 gr,25 gr,Navy Blue
7812,115.64 gr,490 cal,496.93 gr,35 gr,Rose
7813,-11.730000000000004 gr,527 cal,908.42 gr,-3 gr,Purple
7814,6.569999999999993 gr,228 cal,712.82 gr,3 gr,Lemon Yellow
7815,131.53 gr,359 cal,704.77 gr,34 gr,Rose
7816,64.15 gr,599 cal,1476.44 gr,20 gr,Lemon Yellow
7817,39.8 gr,170 cal,1688.94 gr,27 gr,Sunset Red
7818,94.17999999999999 gr,82 cal,1143.41 gr,0 gr,Purple
7819,124.76 gr,552 cal,1527.95 gr,30 gr,Coffee
7820,44.78 gr,306 cal,461.73 gr,31 gr,Green
7821,95.39 gr,671 cal,907.71 gr,27 gr,Rose
7822,121.01 gr,615 cal,530.45 gr,24 gr,Purple
7823,122.32 gr,471 cal,255.71 gr,19 gr,Purple
7824,78.03 gr,685 cal,385.88 gr,20 gr,Sunset Red
7825,8.269999999999996 gr,190 cal,172.9 gr,19 gr,Rose
7826,107.60000000000001 gr,406 cal,508.58 gr,45 gr,Navy Blue
7827,60.92 gr,274 cal,1074.42 gr,-1 gr,Sunset Red
7828,-4.409999999999997 gr,-29 cal,895.91 gr,9 gr,Purple
7829,85.92 gr,527 cal,1241.75 gr,39 gr,Black
7830,69.41000000000001 gr,491 cal,418.42 gr,-1 gr,Grass Green
7831,103.81 gr,394 cal,1270.39 gr,22 gr,Coffee
7832,96.16 gr,737 cal,90.98 gr,41 gr,Green
7833,103.78999999999999 gr,180 cal,1943.07 gr,43 gr,Sunset Red
7834,94.17999999999999 gr,135 cal,1908.7 gr,12 gr,Sunset Yellow
7835,80.43 gr,429 cal,873.6 gr,32 gr,Grass Green
7836,130.72 gr,459 cal,1740.7 gr,34 gr,Navy Blue
7837,121.65 gr,450 cal,239.28 gr,29 gr,Black
7838,2.030000000000001 gr,,65.81 gr,27 gr,Navy Blue
7839,101.83000000000001 gr,697 cal,1127.78 gr,36 gr,Black
7840,42.31999999999999 gr,405 cal,1857.15 gr,0 gr,Sunset Red
7841,90.37 gr,492 cal,586.05 gr,33 gr,Green
7842,78.41 gr,542 cal,721.91 gr,33 gr,Green
7843,30.489999999999995 gr,87 cal,279.9 gr,31 gr,Coffee
7844,48.19 gr,215 cal,1403.78 gr,41 gr,Grass Green
7845,75.39 gr,452 cal,829.11 gr,32 gr,Green
7846,111.21 gr,414 cal,883.7 gr,3 gr,Sunset Red
7847,99.39999999999999 gr,282 cal,231.83 gr,41 gr,Sunset Red
7848,3.0500000000000114 gr,496 cal,94.34 gr,3 gr,Sunset Red
7849,104.49 gr,618 cal,680.5 gr,29 gr,Coffee
7850,129.44 gr,435 cal,1051.16 gr,35 gr,Black
7851,17.35000000000001 gr,535 cal,601.09 gr,19 gr,Sunset Yellow
7852,119.52 gr,710 cal,276.9 gr,41 gr,Sunset Yellow
7853,136.5 gr,307 cal,127.21 gr,34 gr,Coffee
7854,135.45 gr,515 cal,56.41 gr,32 gr,Lemon Yellow
7855,137.62 gr,559 cal,344.51 gr,28 gr,Rose
7856,126.28999999999999 gr,598 cal,1397.24 gr,31 gr,Grass Green
7857,150.21 gr,405 cal,456.13 gr,36 gr,Sunset Yellow
7858,137.0 gr,436 cal,837.96 gr,41 gr,Black
7859,75.84 gr,223 cal,1140.34 gr,3 gr,Lemon Yellow
7860,18.650000000000006 gr,46 cal,619.71 gr,39 gr,Grass Green
7861,48.33000000000001 gr,320 cal,1198.42 gr,13 gr,Coffee
7862,133.5 gr,363 cal,591.14 gr,40 gr,Rose
7863,127.27 gr,551 cal,1248.09 gr,,Rose
7864,19.17 gr,452 cal,453.34 gr,21 gr,Grass Green
7865,139.71 gr,601 cal,1213.73 gr,30 gr,Lemon Yellow
7866,104.13999999999999 gr,510 cal,70.95 gr,18 gr,Sunset Yellow
7867,96.83 gr,501 cal,1123.07 gr,31 gr,Black
7868,150.48000000000002 gr,527 cal,18.74 gr,35 gr,Grass Green
7869,107.78 gr,252 cal,673.89 gr,45 gr,Grass Green
7870,72.03 gr,160 cal,23.58 gr,14 gr,Lemon Yellow
7871,118.75999999999999 gr,270 cal,1751.52 gr,20 gr,Coffee
7872,88.65999999999998 gr,493 cal,1566.25 gr,8 gr,Coffee
7873,147.51 gr,427 cal,1192.35 gr,27 gr,Purple
7874,139.21 gr,623 cal,931.77 gr,37 gr,Lemon Yellow
7875,67.0 gr,41 cal,602.22 gr,13 gr,
7876,-8.400000000000006 gr,47 cal,811.9 gr,6 gr,Purple
7877,-21.429999999999993 gr,285 cal,545.26 gr,34 gr,Sunset Yellow
7878,29.019999999999982 gr,362 cal,810.55 gr,30 gr,Lemon Yellow
7879,47.55999999999999 gr,516 cal,1148.84 gr,23 gr,Purple
7880,20.799999999999983 gr,24 cal,1512.4 gr,22 gr,Navy Blue
7881,78.27000000000001 gr,133 cal,1486.21 gr,44 gr,Sunset Yellow
7882,114.84 gr,561 cal,400.79 gr,44 gr,Coffee
7883,60.400000000000006 gr,259 cal,1884.94 gr,6 gr,Rose
7884,117.07000000000001 gr,510 cal,1030.24 gr,47 gr,Rose
7885,11.77000000000001 gr,186 cal,104.96 gr,26 gr,Sunset Red
7886,104.74 gr,569 cal,1224.2 gr,31 gr,Lemon Yellow
7887,123.15 gr,543 cal,166.06 gr,19 gr,Lemon Yellow
7888,38.769999999999996 gr,341 cal,413.3 gr,6 gr,Navy Blue
7889,84.42 gr,91 cal,1897.65 gr,34 gr,Green
7890,-6.510000000000005 gr,138 cal,850.22 gr,-5 gr,
7891,108.82000000000001 gr,742 cal,1888.43 gr,25 gr,Rose
7892,3.1299999999999955 gr,103 cal,605.84 gr,16 gr,Rose
7893,126.81 gr,676 cal,1369.38 gr,30 gr,Grass Green
7894,9.310000000000002 gr,436 cal,1326.51 gr,22 gr,Sunset Yellow
7895,125.52 gr,496 cal,885.52 gr,22 gr,Black
7896,55.99000000000001 gr,75 cal,104.88 gr,-5 gr,Navy Blue
7897,46.370000000000005 gr,121 cal,448.82 gr,35 gr,Grass Green
7898,166.79 gr,727 cal,1720.77 gr,32 gr,Rose
7899,100.72000000000001 gr,139 cal,912.04 gr,16 gr,Purple
7900,51.040000000000006 gr,408 cal,1790.13 gr,14 gr,Coffee
7901,63.219999999999985 gr,439 cal,221.04 gr,6 gr,Lemon Yellow
7902,150.01999999999998 gr,484 cal,1647.19 gr,24 gr,Lemon Yellow
7903,61.5 gr,359 cal,1123.58 gr,20 gr,Coffee
7904,14.870000000000005 gr,382 cal,1757.04 gr,25 gr,Purple
7905,40.77000000000001 gr,335 cal,1001.76 gr,17 gr,Lemon Yellow
7906,128.07 gr,483 cal,1871.14 gr,33 gr,
7907,20.750000000000014 gr,192 cal,159.53 gr,18 gr,Navy Blue
7908,46.86999999999999 gr,446 cal,1873.51 gr,1 gr,Lemon Yellow
7909,7.490000000000009 gr,57 cal,1077.66 gr,28 gr,Green
7910,21.039999999999992 gr,348 cal,736.52 gr,33 gr,Purple
7911,111.44999999999999 gr,172 cal,1025.86 gr,0 gr,Coffee
7912,99.48 gr,515 cal,379.45 gr,24 gr,Sunset Yellow
7913,37.230000000000004 gr,185 cal,991.49 gr,21 gr,Purple
7914,91.31 gr,674 cal,115.48 gr,28 gr,Green
7915,126.09 gr,751 cal,759.2 gr,22 gr,Green
7916,35.14999999999999 gr,77 cal,1610.52 gr,28 gr,Coffee
7917,143.76999999999998 gr,338 cal,498.66 gr,43 gr,Sunset Yellow
7918,16.439999999999998 gr,484 cal,1323.84 gr,41 gr,Rose
7919,160.72 gr,494 cal,190.54 gr,31 gr,Purple
7920,78.92 gr,302 cal,346.0 gr,-13 gr,Purple
7921,152.81 gr,580 cal,1129.05 gr,44 gr,Sunset Red
7922,28.27000000000001 gr,216 cal,522.89 gr,24 gr,Black
7923,78.96000000000001 gr,32 cal,530.55 gr,13 gr,Purple
7924,8.919999999999987 gr,479 cal,488.21 gr,35 gr,Rose
7925,156.45 gr,492 cal,451.66 gr,38 gr,Green
7926,100.23 gr,444 cal,287.15 gr,29 gr,Navy Blue
7927,112.35 gr,320 cal,366.29 gr,24 gr,Coffee
7928,120.14999999999999 gr,155 cal,1751.06 gr,17 gr,Purple
7929,68.88 gr,108 cal,85.84 gr,18 gr,Purple
7930,75.08 gr,493 cal,934.45 gr,21 gr,Black
7931,9.590000000000003 gr,253 cal,303.85 gr,28 gr,Rose
7932,136.76 gr,581 cal,1903.35 gr,38 gr,Black
7933,156.45 gr,516 cal,161.21 gr,31 gr,Coffee
7934,99.42 gr,458 cal,904.31 gr,19 gr,Sunset Red
7935,139.84 gr,350 cal,1343.51 gr,22 gr,Grass Green
7936,33.500000000000014 gr,295 cal,1269.21 gr,5 gr,Purple
7937,92.55999999999999 gr,160 cal,1749.46 gr,6 gr,Purple
7938,164.76 gr,458 cal,53.37 gr,28 gr,Sunset Red
7939,150.51 gr,448 cal,287.6 gr,31 gr,Sunset Red
7940,98.46 gr,419 cal,475.5 gr,16 gr,Purple
7941,11.459999999999994 gr,279 cal,1102.03 gr,11 gr,Navy Blue
7942,26.720000000000013 gr,77 cal,385.67 gr,41 gr,Green
7943,103.25 gr,272 cal,861.25 gr,0 gr,Grass Green
7944,167.15 gr,386 cal,831.34 gr,36 gr,Navy Blue
7945,135.72 gr,649 cal,1179.58 gr,44 gr,Grass Green
7946,39.03 gr,531 cal,223.43 gr,,Sunset Yellow
7947,140.82999999999998 gr,477 cal,174.86 gr,31 gr,Coffee
7948,16.02000000000001 gr,194 cal,383.52 gr,20 gr,Green
7949,,800 cal,1808.86 gr,20 gr,Purple
7950,70.04 gr,483 cal,1523.07 gr,46 gr,Coffee
7951,71.34 gr,643 cal,1697.64 gr,26 gr,Coffee
7952,83.7 gr,189 cal,726.3 gr,-2 gr,Sunset Red
7953,161.66 gr,503 cal,1170.25 gr,22 gr,Grass Green
7954,64.67000000000002 gr,89 cal,1946.7 gr,25 gr,Coffee
7955,40.41999999999999 gr,75 cal,502.85 gr,37 gr,Purple
7956,-12.409999999999997 gr,451 cal,336.57 gr,31 gr,Grass Green
7957,185.57 gr,577 cal,1488.21 gr,33 gr,Coffee
7958,35.079999999999984 gr,69 cal,1147.75 gr,4 gr,Rose
7959,85.55 gr,414 cal,803.88 gr,43 gr,Green
7960,14.72999999999999 gr,23 cal,960.84 gr,7 gr,Purple
7961,114.47999999999999 gr,299 cal,1167.15 gr,15 gr,Grass Green
7962,171.71 gr,610 cal,1494.6 gr,37 gr,Rose
7963,105.03 gr,489 cal,184.02 gr,29 gr,Rose
7964,10.150000000000006 gr,,1615.56 gr,22 gr,Black
7965,42.45 gr,324 cal,1962.73 gr,26 gr,Sunset Yellow
7966,-17.429999999999993 gr,423 cal,409.96 gr,19 gr,Navy Blue
7967,27.75999999999999 gr,95 cal,361.34 gr,17 gr,Rose
7968,108.12 gr,517 cal,1601.22 gr,30 gr,Navy Blue
7969,138.64 gr,294 cal,97.46 gr,32 gr,Green
7970,1.9599999999999937 gr,435 cal,792.64 gr,10 gr,Coffee
7971,118.09 gr,711 cal,1782.55 gr,33 gr,Navy Blue
7972,119.39000000000001 gr,581 cal,1319.09 gr,18 gr,Purple
7973,101.22999999999999 gr,624 cal,192.15 gr,30 gr,Purple
7974,79.72999999999999 gr,458 cal,1870.07 gr,12 gr,Navy Blue
7975,107.37 gr,338 cal,173.79 gr,36 gr,Sunset Red
7976,44.8 gr,412 cal,848.55 gr,12 gr,Sunset Yellow
7977,112.50999999999999 gr,584 cal,1567.81 gr,33 gr,Navy Blue
7978,98.66 gr,736 cal,367.82 gr,23 gr,Black
7979,126.39999999999999 gr,580 cal,1762.42 gr,33 gr,Sunset Red
7980,119.42000000000002 gr,596 cal,47.82 gr,41 gr,Sunset Red
7981,41.33 gr,235 cal,236.96 gr,20 gr,Coffee
7982,133.67 gr,367 cal,639.16 gr,27 gr,Sunset Yellow
7983,97.69999999999999 gr,194 cal,256.55 gr,0 gr,Sunset Red
7984,137.76 gr,519 cal,649.98 gr,36 gr,Sunset Yellow
7985,138.13 gr,634 cal,1939.57 gr,28 gr,Green
7986,186.98 gr,552 cal,1237.65 gr,30 gr,Purple
7987,60.739999999999995 gr,335 cal,72.63 gr,6 gr,Navy Blue
7988,117.14 gr,550 cal,1405.99 gr,48 gr,Coffee
7989,98.77000000000001 gr,503 cal,481.37 gr,34 gr,Purple
7990,107.24000000000001 gr,440 cal,376.83 gr,43 gr,Coffee
7991,136.14 gr,411 cal,1179.27 gr,,Navy Blue
7992,106.45 gr,786 cal,106.47 gr,34 gr,Navy Blue
7993,45.709999999999994 gr,27 cal,431.87 gr,20 gr,Purple
7994,40.38000000000001 gr,178 cal,752.46 gr,0 gr,Lemon Yellow
7995,79.29999999999998 gr,28 cal,1385.55 gr,-2 gr,Sunset Yellow
7996,11.590000000000018 gr,320 cal,332.51 gr,35 gr,Black
7997,36.489999999999995 gr,122 cal,754.51 gr,7 gr,Lemon Yellow
7998,114.99000000000001 gr,379 cal,939.85 gr,16 gr,Black
7999,118.6 gr,643 cal,7.46 gr,32 gr,Sunset Red
8000,86.36999999999999 gr,502 cal,1566.47 gr,22 gr,Green
8001,76.61000000000001 gr,92 cal,1838.5 gr,-2 gr,Black
8002,70.18 gr,91 cal,1096.47 gr,,Black
8003,47.70999999999998 gr,74 cal,765.59 gr,32 gr,Grass Green
8004,116.82999999999998 gr,32 cal,935.61 gr,-11 gr,Black
8005,50.670000000000016 gr,481 cal,741.18 gr,13 gr,Navy Blue
8006,103.06 gr,510 cal,134.55 gr,34 gr,Green
8007,78.78 gr,67 cal,63.0 gr,-4 gr,Purple
8008,48.31999999999999 gr,430 cal,1545.28 gr,1 gr,Sunset Yellow
8009,112.59 gr,564 cal,1789.54 gr,20 gr,Coffee
8010,135.72 gr,466 cal,1182.11 gr,27 gr,Navy Blue
8011,154.92 gr,520 cal,1803.98 gr,35 gr,Grass Green
8012,61.099999999999994 gr,128 cal,649.49 gr,23 gr,Sunset Red
8013,70.03999999999999 gr,483 cal,976.96 gr,28 gr,Sunset Yellow
8014,27.730000000000018 gr,110 cal,1221.44 gr,27 gr,Green
8015,-6.969999999999999 gr,65 cal,120.07 gr,8 gr,Navy Blue
8016,95.78 gr,502 cal,616.84 gr,33 gr,Navy Blue
8017,98.93 gr,184 cal,1921.12 gr,30 gr,Lemon Yellow
8018,77.95 gr,57 cal,1649.93 gr,7 gr,Grass Green
8019,135.57 gr,487 cal,1346.72 gr,32 gr,Navy Blue
8020,106.47 gr,694 cal,1897.34 gr,41 gr,Lemon Yellow
8021,71.33999999999999 gr,344 cal,1152.97 gr,11 gr,Black
8022,51.00999999999999 gr,135 cal,947.02 gr,-4 gr,Sunset Yellow
8023,56.66000000000001 gr,45 cal,600.24 gr,26 gr,Lemon Yellow
8024,90.13 gr,485 cal,500.15 gr,19 gr,Purple
8025,169.4 gr,321 cal,1921.37 gr,22 gr,Navy Blue
8026,161.97 gr,573 cal,1190.06 gr,34 gr,Sunset Red
8027,97.33 gr,541 cal,1635.5 gr,34 gr,Coffee
8028,128.78 gr,738 cal,150.61 gr,34 gr,Purple
8029,43.97000000000001 gr,153 cal,1192.33 gr,8 gr,Grass Green
8030,119.71000000000001 gr,568 cal,871.38 gr,34 gr,Green
8031,97.84 gr,351 cal,709.5 gr,6 gr,Grass Green
8032,111.13 gr,568 cal,1742.14 gr,26 gr,Coffee
8033,38.14999999999999 gr,393 cal,1529.0 gr,16 gr,Sunset Yellow
8034,155.01 gr,454 cal,615.42 gr,29 gr,Navy Blue
8035,92.34 gr,396 cal,931.88 gr,8 gr,Coffee
8036,53.89999999999999 gr,274 cal,152.73 gr,5 gr,Sunset Red
8037,98.41 gr,322 cal,51.46 gr,19 gr,Lemon Yellow
8038,50.510000000000005 gr,318 cal,888.75 gr,12 gr,Coffee
8039,170.3 gr,445 cal,1074.45 gr,23 gr,Green
8040,156.34 gr,273 cal,1334.6 gr,31 gr,Green
8041,66.07 gr,53 cal,177.52 gr,35 gr,
8042,87.63999999999999 gr,148 cal,1286.68 gr,-6 gr,Lemon Yellow
8043,76.65 gr,399 cal,990.77 gr,20 gr,Sunset Red
8044,72.4 gr,536 cal,34.67 gr,19 gr,Green
8045,62.889999999999986 gr,64 cal,994.85 gr,35 gr,Navy Blue
8046,-12.600000000000009 gr,491 cal,1633.64 gr,15 gr,Black
8047,107.08999999999999 gr,381 cal,156.43 gr,28 gr,
8048,95.09 gr,375 cal,94.11 gr,6 gr,Sunset Red
8049,119.28 gr,540 cal,1024.2 gr,40 gr,Black
8050,5.069999999999993 gr,-25 cal,125.55 gr,11 gr,Navy Blue
8051,89.24 gr,245 cal,1490.15 gr,9 gr,Sunset Red
8052,76.1 gr,493 cal,1711.78 gr,23 gr,Green
8053,98.97 gr,415 cal,654.85 gr,29 gr,Purple
8054,135.19 gr,771 cal,1078.92 gr,17 gr,Grass Green
8055,89.39999999999999 gr,512 cal,921.7 gr,22 gr,Purple
8056,46.750000000000014 gr,375 cal,34.74 gr,4 gr,Navy Blue
8057,16.89 gr,226 cal,1833.64 gr,15 gr,Sunset Red
8058,149.38 gr,721 cal,1536.93 gr,32 gr,Coffee
8059,133.28 gr,565 cal,136.05 gr,31 gr,Rose
8060,102.55 gr,,316.59 gr,29 gr,Purple
8061,94.29 gr,180 cal,1968.21 gr,22 gr,Grass Green
8062,82.21999999999998 gr,426 cal,1595.7 gr,13 gr,Green
8063,29.650000000000006 gr,25 cal,995.69 gr,26 gr,Rose
8064,73.32 gr,648 cal,875.36 gr,23 gr,Coffee
8065,53.519999999999996 gr,399 cal,1063.46 gr,-2 gr,Navy Blue
8066,160.41 gr,750 cal,1385.86 gr,31 gr,Coffee
8067,-2.0799999999999983 gr,183 cal,218.22 gr,31 gr,
8068,93.78999999999999 gr,314 cal,1217.48 gr,38 gr,Lemon Yellow
8069,78.92 gr,599 cal,430.87 gr,33 gr,Navy Blue
8070,61.730000000000004 gr,192 cal,1357.01 gr,-6 gr,Navy Blue
8071,81.79999999999998 gr,265 cal,1569.25 gr,6 gr,Navy Blue
8072,155.56 gr,481 cal,1423.36 gr,32 gr,Lemon Yellow
8073,49.06 gr,418 cal,1741.08 gr,-11 gr,Green
8074,,700 cal,909.73 gr,31 gr,Sunset Yellow
8075,169.74 gr,539 cal,479.05 gr,31 gr,Navy Blue
8076,132.18 gr,669 cal,1746.09 gr,31 gr,Rose
8077,120.91 gr,464 cal,1465.6 gr,17 gr,Sunset Yellow
8078,141.55 gr,456 cal,1919.7 gr,23 gr,Rose
8079,100.91999999999999 gr,190 cal,1369.85 gr,40 gr,Black
8080,62.64999999999999 gr,278 cal,706.24 gr,9 gr,Lemon Yellow
8081,50.19000000000001 gr,300 cal,1084.64 gr,6 gr,Lemon Yellow
8082,27.25999999999999 gr,202 cal,257.33 gr,33 gr,Black
8083,140.20999999999998 gr,351 cal,593.69 gr,40 gr,Coffee
8084,49.579999999999984 gr,197 cal,1908.15 gr,0 gr,Rose
8085,43.030000000000015 gr,353 cal,981.96 gr,,
8086,66.85 gr,32 cal,1210.07 gr,0 gr,Navy Blue
8087,95.13999999999999 gr,377 cal,815.55 gr,-1 gr,Purple
8088,60.62 gr,585 cal,1887.75 gr,22 gr,Grass Green
8089,133.99 gr,449 cal,1474.06 gr,39 gr,Grass Green
8090,168.69 gr,328 cal,967.74 gr,28 gr,Lemon Yellow
8091,103.48999999999998 gr,49 cal,1104.77 gr,23 gr,Grass Green
8092,-22.25 gr,524 cal,813.26 gr,31 gr,Sunset Yellow
8093,27.370000000000005 gr,473 cal,1374.72 gr,-3 gr,Rose
8094,68.36 gr,469 cal,1244.15 gr,16 gr,Grass Green
8095,144.45 gr,670 cal,1211.41 gr,43 gr,Coffee
8096,142.19 gr,472 cal,532.23 gr,42 gr,Sunset Red
8097,170.85999999999999 gr,622 cal,1498.97 gr,38 gr,Green
8098,117.7 gr,350 cal,218.48 gr,27 gr,Sunset Yellow
8099,85.44 gr,454 cal,1224.21 gr,26 gr,Purple
8100,122.29 gr,519 cal,944.52 gr,21 gr,Green
8101,43.78 gr,372 cal,1008.25 gr,39 gr,Green
8102,57.099999999999994 gr,24 cal,1021.32 gr,4 gr,Lemon Yellow
8103,113.67 gr,369 cal,1777.76 gr,39 gr,Rose
8104,67.71000000000001 gr,323 cal,437.06 gr,17 gr,Purple
8105,38.52000000000001 gr,376 cal,1185.38 gr,17 gr,Sunset Yellow
8106,106.67 gr,419 cal,1524.27 gr,37 gr,Navy Blue
8107,15.569999999999993 gr,107 cal,1154.95 gr,-1 gr,Sunset Red
8108,14.879999999999995 gr,131 cal,1426.16 gr,19 gr,Sunset Yellow
8109,88.63 gr,597 cal,1656.84 gr,29 gr,Sunset Red
8110,75.25000000000001 gr,243 cal,984.27 gr,7 gr,Sunset Yellow
8111,68.28 gr,37 cal,182.87 gr,6 gr,Grass Green
8112,27.570000000000007 gr,219 cal,69.4 gr,18 gr,Green
8113,125.34 gr,515 cal,1221.01 gr,49 gr,Navy Blue
8114,99.04 gr,731 cal,1579.28 gr,27 gr,Black
8115,138.73000000000002 gr,431 cal,1245.66 gr,23 gr,Purple
8116,32.67999999999999 gr,165 cal,1652.29 gr,5 gr,Coffee
8117,21.870000000000005 gr,532 cal,82.49 gr,33 gr,Rose
8118,86.42 gr,619 cal,705.69 gr,43 gr,Rose
8119,106.08000000000001 gr,321 cal,1000.75 gr,42 gr,Sunset Red
8120,120.24 gr,685 cal,445.91 gr,13 gr,Black
8121,7.189999999999998 gr,133 cal,857.38 gr,36 gr,Black
8122,24.430000000000007 gr,326 cal,1651.18 gr,0 gr,Sunset Yellow
8123,18.900000000000006 gr,58 cal,1819.53 gr,21 gr,Green
8124,64.64 gr,426 cal,1246.79 gr,12 gr,Green
8125,140.82999999999998 gr,601 cal,1614.27 gr,27 gr,Sunset Yellow
8126,-17.97 gr,16 cal,671.73 gr,35 gr,Purple
8127,56.53999999999999 gr,5 cal,551.54 gr,21 gr,Grass Green
8128,67.04 gr,42 cal,1603.1 gr,-7 gr,Rose
8129,,,554.28 gr,35 gr,Lemon Yellow
8130,160.92000000000002 gr,764 cal,404.36 gr,20 gr,Navy Blue
8131,143.78 gr,542 cal,1712.06 gr,29 gr,Grass Green
8132,114.2 gr,569 cal,201.52 gr,21 gr,Grass Green
8133,135.01 gr,675 cal,812.09 gr,29 gr,Lemon Yellow
8134,74.03 gr,134 cal,12.37 gr,6 gr,Sunset Red
8135,57.599999999999994 gr,317 cal,951.52 gr,8 gr,Sunset Red
8136,180.05 gr,561 cal,471.08 gr,50 gr,Black
8137,78.67 gr,497 cal,1376.93 gr,26 gr,Navy Blue
8138,8.840000000000003 gr,179 cal,208.16 gr,37 gr,Sunset Red
8139,37.39 gr,282 cal,165.38 gr,,Navy Blue
8140,124.03999999999999 gr,709 cal,878.99 gr,22 gr,Navy Blue
8141,56.95 gr,351 cal,1017.81 gr,19 gr,Purple
8142,103.92 gr,508 cal,198.32 gr,34 gr,Rose
8143,71.2 gr,472 cal,1516.67 gr,1 gr,Sunset Yellow
8144,110.92999999999999 gr,404 cal,1710.03 gr,24 gr,Rose
8145,99.12 gr,462 cal,1129.04 gr,27 gr,Lemon Yellow
8146,20.189999999999998 gr,436 cal,715.44 gr,5 gr,Black
